0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,71,0.4,0.59,0.05,0.95,9,-5,11,81,81
1,2,71,0.44,0.59,0.05,0.95,8,-5,11,81,81
1,3,71,0.46,0.59,0.05,0.95,7,-5,11,81,81
1,4,71,0.46,0.59,0.05,0.95,6,-5,11,81,81
1,5,71,0.45,0.59,0.05,0.95,5,-5,11,81,81
1,6,71,0.43,0.59,0.05,0.95,4,-5,11,81,81
1,7,71,0.41,0.59,0.05,0.95,3,-5,11,81,81
1,8,71,0.38,0.59,0.05,0.95,2,-5,11,81,81
1,9,71,0.34,0.59,0.05,0.95,1,-5,11,81,81
0,10,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,0,0
1,12,67.6,0.3,0.42,0.05,0.95,7,-5,11,63,63
1,13,67.6,0.28,0.42,0.05,0.95,6,-5,11,63,63
1,14,67.6,0.26,0.42,0.05,0.95,5,-5,11,63,63
1,15,67.6,0.24,0.42,0.05,0.95,4,-5,11,63,63
1,16,67.6,0.22,0.42,0.05,0.95,3,-5,11,63,63
1,17,67.6,0.19,0.42,0.05,0.95,2,-5,11,63,63
1,18,67.6,0.17,0.42,0.05,0.95,1,-5,11,63,63
