0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,2,82.5,0.2,0.61,0.05,0.95,10,-5,11,80,80
1,3,82.5,0.17,0.61,0.05,0.95,9,-5,11,80,80
1,4,82.5,0.16,0.61,0.05,0.95,8,-5,11,80,80
1,5,82.5,0.16,0.61,0.05,0.95,7,-5,11,80,80
1,6,82.5,0.17,0.61,0.05,0.95,6,-5,11,80,80
1,7,82.5,0.13,0.61,0.05,0.95,5,-5,11,80,80
1,8,82.5,0.08,0.61,0.05,0.95,4,-5,11,80,80
1,9,82.5,0.11,0.61,0.05,0.95,3,-5,11,80,80
1,10,82.5,0.15,0.61,0.05,0.95,2,-5,11,80,80
1,11,82.5,0.09,0.61,0.05,0.95,1,-5,11,80,80
0,12,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0,0,0
1,16,57,0.3,0.79,0.05,0.95,3,-5,11,89,89
1,17,57,0.28,0.79,0.05,0.95,2,-5,11,89,89
1,18,57,0.28,0.79,0.05,0.95,1,-5,11,89,89
