0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,77.7,0.5,0.65,0.05,0.95,6,-5,11,77,77
1,2,77.7,0.29,0.65,0.05,0.95,5,-5,11,77,77
1,3,77.7,0.13,0.65,0.05,0.95,4,-5,11,77,77
1,4,77.7,0.02,0.65,0.05,0.95,3,-5,11,77,77
1,5,77.7,0.11,0.65,0.05,0.95,2,-5,11,77,77
1,6,77.7,0.17,0.65,0.05,0.95,1,-5,11,77,77
0,7,0,0,0,0,0,0,0,0,0,0
1,8,78.8,0.3,0.8,0.05,0.95,8,-5,11,51,51
1,9,78.8,0.09,0.8,0.05,0.95,7,-5,11,51,51
1,10,78.8,-0.01,0.8,0.05,0.95,6,-5,11,51,51
1,11,78.8,-0.06,0.8,0.05,0.95,5,-5,11,51,51
1,12,78.8,0.03,0.8,0.05,0.95,4,-5,11,51,51
1,13,78.8,0.07,0.8,0.05,0.95,3,-5,11,51,51
1,14,78.8,0.09,0.8,0.05,0.95,2,-5,11,51,51
1,15,78.8,0.09,0.8,0.05,0.95,1,-5,11,51,51
0,16,0,0,0,0,0,0,0,0,0,0
1,17,61.9,0.5,0.52,0.05,0.95,6,-5,11,84,84
1,18,61.9,0.28,0.52,0.05,0.95,5,-5,11,84,84
