0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,2,77.7,0.33,0.65,0.05,0.95,6,-5,11,89,89
1,3,77.7,0.19,0.65,0.05,0.95,5,-5,11,89,89
1,4,77.7,0.08,0.65,0.05,0.95,4,-5,11,89,89
1,5,77.7,0.19,0.65,0.05,0.95,3,-5,11,89,89
1,6,77.7,0.27,0.65,0.05,0.95,2,-5,11,89,89
1,7,77.7,0.33,0.65,0.05,0.95,1,-5,11,89,89
1,8,77.7,0.37,0.65,0.05,0.95,0,-5,11,89,89
1,9,78.8,0.17,0.8,0.05,0.95,8,-5,11,97,97
1,10,78.8,0.05,0.8,0.05,0.95,7,-5,11,97,97
1,11,78.8,-0.05,0.8,0.05,0.95,6,-5,11,97,97
1,12,78.8,0.07,0.8,0.05,0.95,5,-5,11,97,97
1,13,78.8,0.18,0.8,0.05,0.95,4,-5,11,97,97
1,14,78.8,0.27,0.8,0.05,0.95,3,-5,11,97,97
1,15,78.8,0.35,0.8,0.05,0.95,2,-5,11,97,97
1,16,78.8,0.25,0.8,0.05,0.95,1,-5,11,97,97
1,17,78.8,0.17,0.8,0.05,0.95,0,-5,11,97,97
1,18,61.9,0.3,0.52,0.05,0.95,8,-5,11,88,88
1,19,61.9,0.14,0.52,0.05,0.95,7,-5,11,88,88
